file_id,12
date,2024-04-09
instrument,qwe
sample,qwe
spring_constant,122
inv_ols,23
tip_geometry,12
tip_radius,123
sampling_rate,23
velocity,2
geometry,approach
parameter,force
unit,N
value,1.07171586320023e-12
curve_id,0
file_id,12
date,2024-04-09
instrument,qwe
sample,qwe
spring_constant,122.0
inv_ols,23.0
tip_geometry,12
tip_radius,123.0
segment_type,approach
sampling_rate,23.0
velocity,2.0
no_points,2000
index,Z (m),Force (N)
120,-2.1498620549e-06,-3.0299323487023e-13
121,-2.1486666606e-06,-7.4536955995023e-13
122,-2.1475237838e-06,6.3506419056977e-13
123,-2.1464618837e-06,4.4396250606977e-13
124,-2.1452146286e-06,-2.5220910508023003e-13
125,-2.144140407e-06,3.5775667396977e-13
126,-2.1430610558e-06,1.4710690297977002e-13
127,-2.1418021359e-06,-4.4374286547023e-13
128,-2.140702379e-06,4.3583947952976997e-13
129,-2.1397096061e-06,5.860643515997699e-13
130,-2.1385411015e-06,-8.3191861853023e-13
131,-2.1374793655e-06,-3.0248691497023004e-13
132,-2.1363120715e-06,1.01036286529977e-12
133,-2.1351911496e-06,-3.6181154178023e-13
134,-2.1340607583e-06,-2.9964008262023e-13
135,-2.1329494288e-06,3.7620205411977e-13
136,-2.1317591334e-06,9.2541553026977e-13
137,-2.1306580017e-06,1.3767069438770011e-14
138,-2.1293813127e-06,-1.22090497030023e-12
139,-2.1282570667e-06,-7.5764660051023e-13
140,-2.1270777693e-06,9.796466153677001e-14
141,-2.1260181058e-06,8.7493567927977e-13
142,-2.1249055862e-06,1.0281251638770011e-14
143,-2.1236856209e-06,-1.04315625610023e-12
144,-2.1226502719e-06,4.3608655390977e-13
145,-2.1214824341e-06,4.989286435197699e-13
146,-2.1204024058e-06,-2.8804584367023e-13
147,-2.1190919226e-06,-2.3552489056023004e-13
148,-2.1179625367e-06,2.3728539893977e-13
149,-2.1167792998e-06,-5.4513951180023e-13
150,-2.1156219265e-06,-4.3483723389023e-13
151,-2.1144542119e-06,2.2666776466997703e-12
152,-2.1134298095e-06,2.6155832644977e-13
153,-2.1122464802e-06,6.122847485477001e-14
154,-2.1111801276e-06,3.1727907529977e-13
155,-2.110078647e-06,-2.5689499843023e-13
156,-2.1089682101e-06,-4.783527519702301e-13
157,-2.1078050198e-06,-5.0658130373023e-13
158,-2.1067640077e-06,2.7047098076700107e-15
159,-2.1056586389e-06,6.705564855597699e-13
160,-2.1044996138e-06,-6.6169654449023e-13
161,-2.1033532283e-06,-3.9794282223023003e-13
162,-2.102207684e-06,-9.4598421650023e-13
163,-2.1010677311e-06,1.7015176129977001e-13
164,-2.0998821037e-06,1.81958621749977e-12
165,-2.0987002517e-06,1.15745244869977e-12
166,-2.0976265842e-06,2.7674670644977e-13
167,-2.0964891345e-06,-6.3939169218023e-13
168,-2.0953623135e-06,-1.32872798460023e-12
169,-2.0941029216e-06,4.1845298955977e-13
170,-2.093079022e-06,1.3233914945997699e-12
171,-2.0918358912e-06,3.2451360776977e-13
172,-2.0907155335e-06,-4.7312402527023e-13
173,-2.0896117857e-06,-4.0338576120023e-13
174,-2.0885275203e-06,-9.1881090358023e-13
175,-2.0874206844e-06,-4.6257407112023e-13
176,-2.0861458523e-06,-4.212407553122999e-14
177,-2.0850352512e-06,1.64272964879977e-12
178,-2.083941024e-06,1.02276526869977e-12
179,-2.0827146056e-06,-5.4676314342023e-13
180,-2.0815777304e-06,-6.6788070658023e-13
181,-2.0805144658e-06,-8.4702545182023e-13
182,-2.0794105025e-06,4.619113032397699e-13
183,-2.0781833557e-06,7.6041974869977e-13
184,-2.0771291193e-06,-2.8974980488023004e-13
185,-2.0760402064e-06,-1.02074794900023e-12
186,-2.0748868446e-06,-4.1390041901023e-13
187,-2.073718894e-06,1.66617493799977e-12
188,-2.0726445698e-06,2.0198297390977e-13
189,-2.0714040756e-06,-1.40247542600023e-12
190,-2.070432283e-06,1.40886827469977e-12
191,-2.0693457811e-06,1.11587579509977e-12
192,-2.0681254464e-06,-8.1293770771023e-13
193,-2.0669940395e-06,-1.31455954710023e-12
194,-2.0658849363e-06,-1.92609175340023e-12
195,-2.0647295431e-06,-2.1141870783023e-13
196,-2.0636643702e-06,1.92942720879977e-12
197,-2.0624779734e-06,1.54848233679977e-12
198,-2.061436161e-06,2.767504429977001e-14
199,-2.0602403974e-06,3.2295326614977e-13
200,-2.0591483452e-06,1.13597158339977e-12
201,-2.0579843957e-06,-2.3186867664023003e-13
202,-2.0568917074e-06,-4.0855606637023003e-13
203,-2.0556477353e-06,5.359788459097699e-13
204,-2.0545499994e-06,7.2516600827977e-13
205,-2.0534395112e-06,7.729439488277001e-14
206,-2.0523816943e-06,-1.66327520980023e-12
207,-2.0512935919e-06,-7.2755829680023e-13
208,-2.0502002983e-06,2.8871094840977e-13
209,-2.0488719126e-06,1.8937487803977002e-13
210,-2.047917171e-06,-7.0376856400023e-13
211,-2.0468065494e-06,-1.18594942310023e-12
212,-2.045689567e-06,-3.199889456822999e-14
213,-2.0445268692e-06,9.700081952697699e-13
214,-2.0433741126e-06,-5.252688898002301e-13
215,-2.0422082857e-06,-1.45499029360023e-12
216,-2.0409829343e-06,-2.2916789811023003e-13
217,-2.0398569955e-06,1.2140921194997699e-12
218,-2.0386757694e-06,9.1044136253977e-13
219,-2.0375768332e-06,-2.0046345433022998e-13
220,-2.0364624156e-06,-2.2108747061022996e-13
221,-2.0352549359e-06,1.1905726714977002e-13
222,-2.0341370097e-06,1.09409795359977e-12
223,-2.0329389583e-06,-2.7860103008023003e-13
224,-2.0320039658e-06,-2.1417790788022996e-13
225,-2.0307250608e-06,4.1102006731976997e-13
226,-2.0294948772e-06,1.21316224359977e-12
227,-2.0283125328e-06,7.2445399590977e-13
228,-2.0272223785e-06,-5.4944079675023e-13
229,-2.0260777371e-06,6.4548513050977e-13
230,-2.0249049749e-06,2.1284085819977004e-13
231,-2.023717747e-06,-2.6482815500023e-13
232,-2.0224740109e-06,-3.761831523222999e-14
233,-2.0213880835e-06,7.6823606221977e-13
234,-2.020312323e-06,4.3648455055976997e-13
235,-2.0191941711e-06,1.3543841999977001e-13
236,-2.0180392088e-06,-4.0749595908023004e-13
237,-2.0168929361e-06,-1.1230902087022999e-13
238,-2.0159330546e-06,-9.8336547421023e-13
239,-2.0147548139e-06,1.34664813089977e-12
